objectid,Station ID,Station Name,Station ID DOMO,Has Kiosk,Dock Count,Station Latitude,Station Longitude,Region_ID,shape,supervisor_district,analysis_neighborhood,data_loaded_at,data_as_of
9,20,Mechanics Monument Plaza (Market St at Bush St),SF-F28-1,true,23,37.7913,-122.399051,3,POINT (-122.399051 37.7913),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
12,11,Davis St at Jackson St,SF-D28,true,35,37.79728,-122.398436,3,POINT (-122.398436 37.79728),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
13,14,Clay St at Battery St,SF-E28,true,31,37.795001,-122.39997,3,POINT (-122.39997 37.795001),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
14,8,The Embarcadero at Vallejo St,SF-C28-1,true,23,37.799952999999995,-122.398525,3,POINT (-122.398525 37.799953),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
15,15,San Francisco Ferry Building (Harry Bridges Plaza),SF-E29-1,true,38,37.795392,-122.394203,3,POINT (-122.394203 37.795392),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
17,6,The Embarcadero at Sansome St,SF-A27,true,23,37.80477,-122.403234,3,POINT (-122.403234 37.80477),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
19,12,Pier 1/2 at The Embarcadero,SF-D29,true,23,37.7963894,-122.3945855,3,POINT (-122.3945855 37.7963894),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
21,9,Broadway at Battery St,SF-C28-2,true,19,37.79857211,-122.40086898,3,POINT (-122.400868982 37.798572108),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
29,16,Market St at Steuart St,SF-E29-2,true,25,37.794525,-122.3948805,3,POINT (-122.3948805 37.794525),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
393,500,Battery St at Filbert St,SF-B28-2,true,31,37.80219785,-122.40177155,3,POINT (-122.401771545 37.802197852),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
399,462,Cruise Terminal at Pier 27,SF-B28,true,23,37.804648,-122.402087,3,POINT (-122.402087 37.804648),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
466,533,Front St at California St,SF-E28-2,true,32,37.793177,-122.398823,3,POINT (-122.398823 37.793177),3,Financial District/South Beach,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
443,505,Geneva Ave at Moscow St,SF-CC18,false,0,37.71319254,-122.43349135,,POINT (-122.433491349 37.713192538),11,Excelsior,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
468,503,London St at Geneva Ave,SF-BB17,true,19,37.71616095,-122.44010568,3,POINT (-122.440105677 37.716160945),11,Excelsior,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
23,10,Washington St at Kearny St,SF-D27,true,31,37.795401999999996,-122.4046885,3,POINT (-122.4046885 37.795402),3,Chinatown,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
24,13,Commercial St at Montgomery St,SF-E27,true,23,37.7942465,-122.402855,3,POINT (-122.402855 37.7942465),3,Chinatown,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
427,487,Powell St at Columbus Ave,SF-C25,true,30,37.80049604,-122.41088703,3,POINT (-122.410887033 37.800496037),3,Chinatown,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
71,105,16th St at Prosper St,SF-N20-1,true,19,37.764285,-122.4318042,3,POINT (-122.4318042 37.764285),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
79,96,Dolores St at 15th St,SF-M21,true,19,37.7661,-122.4266585,3,POINT (-122.4266585 37.7661),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
90,119,18th St at Noe St,SF-O19,true,15,37.7610471,-122.4326417,3,POINT (-122.4326417 37.7610471),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
96,118,Eureka Valley Recreation Center,SF-O18,true,19,37.759211,-122.4367975,3,POINT (-122.4367975 37.759211),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
97,106,Sanchez St at 17th St,SF-N20-2,true,19,37.7632417,-122.4306746,3,POINT (-122.4306746 37.7632417),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
