"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US060750125033","Block Group 3; Census Tract 125.03; San Francisco County; California","2709","807",
"1500000US060750125041","Block Group 1; Census Tract 125.04; San Francisco County; California","612","245",
"1500000US060750126011","Block Group 1; Census Tract 126.01; San Francisco County; California","991","287",
"1500000US060750126012","Block Group 2; Census Tract 126.01; San Francisco County; California","1173","149",
"1500000US060750126021","Block Group 1; Census Tract 126.02; San Francisco County; California","1402","336",
"1500000US060750126022","Block Group 2; Census Tract 126.02; San Francisco County; California","1366","388",
"1500000US060750127001","Block Group 1; Census Tract 127; San Francisco County; California","1431","410",
"1500000US060750127002","Block Group 2; Census Tract 127; San Francisco County; California","1845","486",
"1500000US060750127003","Block Group 3; Census Tract 127; San Francisco County; California","745","269",
"1500000US060750128011","Block Group 1; Census Tract 128.01; San Francisco County; California","955","521",
"1500000US060750128012","Block Group 2; Census Tract 128.01; San Francisco County; California","958","327",
"1500000US060750128013","Block Group 3; Census Tract 128.01; San Francisco County; California","678","209",
"1500000US060750128021","Block Group 1; Census Tract 128.02; San Francisco County; California","852","308",
"1500000US060750128022","Block Group 2; Census Tract 128.02; San Francisco County; California","1175","388",
"1500000US060750129011","Block Group 1; Census Tract 129.01; San Francisco County; California","1270","267",
"1500000US060750129012","Block Group 2; Census Tract 129.01; San Francisco County; California","1546","538",
"1500000US060750129021","Block Group 1; Census Tract 129.02; San Francisco County; California","1186","246",
"1500000US060750129022","Block Group 2; Census Tract 129.02; San Francisco County; California","1520","351",
"1500000US060750129023","Block Group 3; Census Tract 129.02; San Francisco County; California","616","188",
"1500000US060750130011","Block Group 1; Census Tract 130.01; San Francisco County; California","757","215",
"1500000US060750130012","Block Group 2; Census Tract 130.01; San Francisco County; California","835","204",
"1500000US060750130021","Block Group 1; Census Tract 130.02; San Francisco County; California","1895","648",
"1500000US060750130022","Block Group 2; Census Tract 130.02; San Francisco County; California","714","239",
"1500000US060750131011","Block Group 1; Census Tract 131.01; San Francisco County; California","1147","429",
"1500000US060750131012","Block Group 2; Census Tract 131.01; San Francisco County; California","981","345",
"1500000US060750131013","Block Group 3; Census Tract 131.01; San Francisco County; California","1164","459",
"1500000US060750131014","Block Group 4; Census Tract 131.01; San Francisco County; California","977","316",
"1500000US060750131021","Block Group 1; Census Tract 131.02; San Francisco County; California","1270","356",
"1500000US060750131022","Block Group 2; Census Tract 131.02; San Francisco County; California","1461","285",
"1500000US060750132001","Block Group 1; Census Tract 132; San Francisco County; California","812","317",
"1500000US060750132002","Block Group 2; Census Tract 132; San Francisco County; California","1145","464",
"1500000US060750132003","Block Group 3; Census Tract 132; San Francisco County; California","895","222",
"1500000US060750132004","Block Group 4; Census Tract 132; San Francisco County; California","1079","327",
"1500000US060750133001","Block Group 1; Census Tract 133; San Francisco County; California","499","191",
"1500000US060750133002","Block Group 2; Census Tract 133; San Francisco County; California","1059","279",
"1500000US060750133003","Block Group 3; Census Tract 133; San Francisco County; California","918","267",
"1500000US060750133004","Block Group 4; Census Tract 133; San Francisco County; California","940","386",
"1500000US060750133005","Block Group 5; Census Tract 133; San Francisco County; California","868","312",
"1500000US060750134011","Block Group 1; Census Tract 134.01; San Francisco County; California","601","246",
"1500000US060750134012","Block Group 2; Census Tract 134.01; San Francisco County; California","769","247",
"1500000US060750134021","Block Group 1; Census Tract 134.02; San Francisco County; California","2107","355",
"1500000US060750135001","Block Group 1; Census Tract 135; San Francisco County; California","1480","225",
"1500000US060750135002","Block Group 2; Census Tract 135; San Francisco County; California","470","115",
"1500000US060750135003","Block Group 3; Census Tract 135; San Francisco County; California","521","183",
"1500000US060750151001","Block Group 1; Census Tract 151; San Francisco County; California","926","331",
"1500000US060750151002","Block Group 2; Census Tract 151; San Francisco County; California","1163","212",
"1500000US060750151003","Block Group 3; Census Tract 151; San Francisco County; California","710","200",
"1500000US060750152011","Block Group 1; Census Tract 152.01; San Francisco County; California","1085","222",
"1500000US060750152012","Block Group 2; Census Tract 152.01; San Francisco County; California","527","199",
"1500000US060750152021","Block Group 1; Census Tract 152.02; San Francisco County; California","961","278",
"1500000US060750152022","Block Group 2; Census Tract 152.02; San Francisco County; California","1251","669",
"1500000US060750153001","Block Group 1; Census Tract 153; San Francisco County; California","867","198",
"1500000US060750153002","Block Group 2; Census Tract 153; San Francisco County; California","1426","382",
"1500000US060750154011","Block Group 1; Census Tract 154.01; San Francisco County; California","2318","452",
"1500000US060750154012","Block Group 2; Census Tract 154.01; San Francisco County; California","1020","296",
"1500000US060750154021","Block Group 1; Census Tract 154.02; San Francisco County; California","1573","423",
"1500000US060750154022","Block Group 2; Census Tract 154.02; San Francisco County; California","1275","585",
"1500000US060750155001","Block Group 1; Census Tract 155; San Francisco County; California","1353","306",
"1500000US060750155002","Block Group 2; Census Tract 155; San Francisco County; California","751","513",
"1500000US060750155003","Block Group 3; Census Tract 155; San Francisco County; California","783","313",
"1500000US060750155004","Block Group 4; Census Tract 155; San Francisco County; California","821","246",
"1500000US060750156001","Block Group 1; Census Tract 156; San Francisco County; California","395","238",
"1500000US060750156002","Block Group 2; Census Tract 156; San Francisco County; California","1495","336",
"1500000US060750156003","Block Group 3; Census Tract 156; San Francisco County; California","1098","325",
"1500000US060750157011","Block Group 1; Census Tract 157.01; San Francisco County; California","2587","553",
"1500000US060750157012","Block Group 2; Census Tract 157.01; San Francisco County; California","2339","599",
"1500000US060750157021","Block Group 1; Census Tract 157.02; San Francisco County; California","1840","659",
"1500000US060750157022","Block Group 2; Census Tract 157.02; San Francisco County; California","1433","334",
"1500000US060750158011","Block Group 1; Census Tract 158.01; San Francisco County; California","409","205",
"1500000US060750158012","Block Group 2; Census Tract 158.01; San Francisco County; California","1585","470",
"1500000US060750158013","Block Group 3; Census Tract 158.01; San Francisco County; California","1400","313",
"1500000US060750158021","Block Group 1; Census Tract 158.02; San Francisco County; California","1535","489",
"1500000US060750158022","Block Group 2; Census Tract 158.02; San Francisco County; California","1805","334",
"1500000US060750159001","Block Group 1; Census Tract 159; San Francisco County; California","1795","605",
"1500000US060750159002","Block Group 2; Census Tract 159; San Francisco County; California","1539","460",
"1500000US060750159003","Block Group 3; Census Tract 159; San Francisco County; California","685","207",
"1500000US060750159004","Block Group 4; Census Tract 159; San Francisco County; California","1226","389",
"1500000US060750160001","Block Group 1; Census Tract 160; San Francisco County; California","1069","207",
"1500000US060750160002","Block Group 2; Census Tract 160; San Francisco County; California","1391","444",
"1500000US060750161011","Block Group 1; Census Tract 161.01; San Francisco County; California","1493","489",
"1500000US060750161012","Block Group 2; Census Tract 161.01; San Francisco County; California","862","306",
"1500000US060750161021","Block Group 1; Census Tract 161.02; San Francisco County; California","722","318",
"1500000US060750161022","Block Group 2; Census Tract 161.02; San Francisco County; California","1896","630",
"1500000US060750162001","Block Group 1; Census Tract 162; San Francisco County; California","1282","451",
"1500000US060750162002","Block Group 2; Census Tract 162; San Francisco County; California","1231","433",
"1500000US060750162003","Block Group 3; Census Tract 162; San Francisco County; California","717","291",
"1500000US060750163001","Block Group 1; Census Tract 163; San Francisco County; California","581","223",
"1500000US060750163002","Block Group 2; Census Tract 163; San Francisco County; California","1188","425",
"1500000US060750163003","Block Group 3; Census Tract 163; San Francisco County; California","1123","325",
"1500000US060750163004","Block Group 4; Census Tract 163; San Francisco County; California","1050","401",
"1500000US060750164001","Block Group 1; Census Tract 164; San Francisco County; California","2050","627",
"1500000US060750164002","Block Group 2; Census Tract 164; San Francisco County; California","722","204",
"1500000US060750164003","Block Group 3; Census Tract 164; San Francisco County; California","1390","395",
"1500000US060750165001","Block Group 1; Census Tract 165; San Francisco County; California","1584","460",
"1500000US060750165002","Block Group 2; Census Tract 165; San Francisco County; California","1067","436",
"1500000US060750165003","Block Group 3; Census Tract 165; San Francisco County; California","2033","560",
"1500000US060750165004","Block Group 4; Census Tract 165; San Francisco County; California","633","235",
"1500000US060750166011","Block Group 1; Census Tract 166.01; San Francisco County; California","1709","491",
"1500000US060750166012","Block Group 2; Census Tract 166.01; San Francisco County; California","1493","424",
"1500000US060750166021","Block Group 1; Census Tract 166.02; San Francisco County; California","2098","449",
"1500000US060750167001","Block Group 1; Census Tract 167; San Francisco County; California","1778","568",
